ZipCode,LicenseCount
11007.0,1
11010.0,16
11016.0,2
11020.0,11
11021.0,32
11023.0,10
11024.0,4
11025.0,1
11026.0,5
11027.0,1
11030.0,21
11037.0,2
11040.0,184
11050.0,20
11094.0,3
11096.0,18
11101.0,5434
11102.0,3272
11103.0,2374
11104.0,2770
11105.0,3197
11106.0,3278
11108.0,1
11109.0,1248
11122.0,1
11123.0,3
11134.0,2
11141.0,5
11201.0,10907
11202.0,26
11203.0,2054
11204.0,2819
11205.0,3573
11206.0,5934
11207.0,3760
11208.0,3070
11209.0,7029
11210.0,1763
11211.0,5839
11212.0,2305
11213.0,2318
11214.0,5092
11215.0,10849
11216.0,4002
11217.0,5721
11218.0,5649
11219.0,1775
11220.0,4284
11221.0,5216
11222.0,5083
11223.0,3497
11224.0,3139
11225.0,3437
11226.0,5060
11228.0,3521
11229.0,5001
11230.0,3041
11231.0,5101
11232.0,1892
11233.0,3073
11234.0,6569
11235.0,4556
11236.0,3040
11237.0,3024
11238.0,6578
11239.0,1159
11242.0,1
11243.0,33
11246.0,2
11247.0,2
11249.0,3932
11256.0,1
11274.0,1
11280.0,1
11298.0,1
11301.0,1
11305.0,4
11309.0,2
11313.0,1
11315.0,3
11336.0,1
11337.0,5
11338.0,1
11341.0,3
11342.0,1
11344.0,1
11345.0,1
11346.0,1
11347.0,3
11350.0,1
11351.0,1
11352.0,8
11353.0,2
11354.0,2354
11355.0,2608
11356.0,1549
11357.0,3450
11358.0,2855
11359.0,2
11360.0,1582
11361.0,2575
11362.0,1140
11363.0,611
11364.0,2731
11365.0,3033
11366.0,893
11367.0,1926
11368.0,3031
11369.0,1720
11370.0,1672
11372.0,4150
11373.0,3650
11374.0,2848
11375.0,6028
11376.0,9
11377.0,5060
11378.0,3402
11379.0,4293
11381.0,2
11385.0,7218
11386.0,24
11388.0,1
11397.0,1
11411.0,626
11412.0,1052
11413.0,1039
11414.0,2517
11415.0,1529
11416.0,1001
11417.0,1868
11418.0,1816
11419.0,1217
11420.0,1514
11421.0,2122
11422.0,875
11423.0,800
11424.0,4
11425.0,9
11426.0,1210
11427.0,962
11428.0,673
11429.0,624
11430.0,3
11431.0,8
11432.0,1593
11433.0,863
11434.0,1753
11435.0,2018
11436.0,598
11437.0,1
11439.0,2
11442.0,2
11453.0,4
11461.0,3
11469.0,1
11478.0,1
11501.0,10
11508.0,1
11509.0,1
11510.0,10
11516.0,6
11518.0,12
11520.0,8
11530.0,5
11542.0,10
11545.0,5
11548.0,3
11550.0,27
11552.0,13
11553.0,7
11554.0,21
11557.0,2
11558.0,2
11559.0,5
11560.0,1
11561.0,12
11563.0,4
11565.0,4
11566.0,11
11569.0,1
11570.0,13
11572.0,18
11575.0,7
11576.0,14
11577.0,1
11578.0,2
11579.0,3
11580.0,41
11581.0,25
11582.0,1
11590.0,21
11596.0,5
11598.0,4
11609.0,3
11630.0,2
11631.0,1
11638.0,1
11690.0,20
11691.0,1270
11692.0,1015
11693.0,1264
11694.0,1736
11695.0,8
11697.0,271
11701.0,7
11703.0,2
11704.0,2
11706.0,16
11710.0,9
11713.0,4
11714.0,9
11716.0,1
11717.0,4
11720.0,2
11721.0,1
11722.0,3
11725.0,12
11726.0,6
11727.0,2
11729.0,1
11730.0,1
11731.0,4
11732.0,4
11735.0,7
11738.0,7
11741.0,4
11743.0,6
11746.0,10
11747.0,10
11750.0,1
11753.0,5
11754.0,1
11755.0,8
11756.0,15
11757.0,11
11758.0,9
11763.0,4
11765.0,1
11768.0,1
11771.0,11
11772.0,8
11778.0,1
11779.0,2
11780.0,6
11782.0,1
11783.0,1
11784.0,2
11790.0,1
11791.0,8
11793.0,10
11795.0,3
11797.0,2
11798.0,5
11801.0,4
11803.0,12
11868.0,1
11904.0,2
11920.0,1
11921.0,1
11930.0,2
11933.0,2
11937.0,7
11940.0,1
11944.0,2
11946.0,3
11950.0,5
11951.0,1
11952.0,1
11953.0,1
11955.0,1
11957.0,1
11961.0,6
11963.0,2
11965.0,1
11967.0,4
11968.0,9
11971.0,2
11977.0,11
11978.0,3
12010.0,4
12020.0,1
12051.0,1
12083.0,1
12084.0,1
12136.0,3
12143.0,1
12180.0,9
12188.0,1
12201.0,1
12202.0,2
12204.0,2
12207.0,1
12236.0,2
12303.0,2
12306.0,2
12307.0,1
12308.0,1
12309.0,2
12401.0,2
12404.0,1
12413.0,1
12451.0,1
12458.0,2
12496.0,2
12522.0,1
12524.0,2
12528.0,1
12531.0,2
12533.0,4
12534.0,1
12538.0,3
12540.0,1
12549.0,4
12550.0,17
12553.0,5
12564.0,1
12586.0,7
12589.0,5
12590.0,8
12601.0,14
12603.0,5
12701.0,1
12721.0,1
12722.0,3
12752.0,1
12771.0,2
12775.0,2
12789.0,1
12790.0,4
12804.0,2
12866.0,2
13027.0,1
13032.0,1
13045.0,4
13068.0,1
13202.0,1
13357.0,1
13363.0,1
13369.0,1
13370.0,1
13421.0,4
13501.0,1
13502.0,1
13601.0,3
13637.0,3
13642.0,1
13731.0,1
13782.0,2
13783.0,1
13790.0,2
13815.0,2
13856.0,2
13903.0,1
13905.0,2
14001.0,1
14031.0,1
14043.0,1
14131.0,2
14207.0,1
14210.0,1
14216.0,2
14220.0,1
14221.0,1
14228.0,1
14305.0,1
14420.0,1
14432.0,2
14450.0,7
14467.0,1
14482.0,2
14532.0,1
14612.0,1
14747.0,1
14803.0,2
14847.0,1
14850.0,5
14882.0,2
14901.0,3
14903.0,1
16428.0,2
16801.0,2
17046.0,1
17402.0,2
18224.0,1
18321.0,1
18324.0,1
18466.0,5
18702.0,1
18705.0,1
19044.0,2
19119.0,2
19125.0,1
19135.0,1
19146.0,1
19147.0,1
20008.0,1
20748.0,1
20854.0,1
21224.0,2
21229.0,1
22202.0,2
22206.0,1
22223.0,1
22314.0,1
27523.0,3
27597.0,1
27707.0,1
27804.0,1
27857.0,1
28036.0,1
28203.0,1
28314.0,1
28411.0,2
28532.0,1
28677.0,2
29150.0,1
29566.0,2
30252.0,1
30305.0,1
30342.0,1
30346.0,2
31313.0,2
31539.0,2
32043.0,2
32163.0,2
32223.0,1
32250.0,1
32259.0,1
32601.0,1
32617.0,1
32708.0,1
32792.0,1
32819.0,1
32822.0,1
32925.0,3
33028.0,3
33139.0,2
33140.0,3
33146.0,1
33149.0,3
33185.0,1
33401.0,3
33414.0,1
33428.0,1
33446.0,1
33456.0,1
33467.0,2
33483.0,1
33496.0,2
33547.0,1
33706.0,1
33711.0,1
33805.0,1
34472.0,2
34609.0,1
34746.0,1
34759.0,1
34984.0,1
34986.0,5
37129.0,1
37205.0,1
37209.0,3
43065.0,2
43210.0,1
44077.0,1
45402.0,1
45822.0,1
48310.0,2
48375.0,2
48428.0,1
50111.0,1
50208.0,1
53494.0,4
60302.0,2
60431.0,4
60510.0,2
60564.0,1
60654.0,1
63108.0,2
68164.0,3
68508.0,1
72764.0,1
73139.0,3
76244.0,1
76262.0,1
77005.0,1
78660.0,1
78744.0,3
78749.0,1
78751.0,2
80233.0,2
83815.0,1
84014.0,1
84047.0,1
84108.0,2
84116.0,1
89117.0,1
90015.0,1
90036.0,3
90047.0,4
90065.0,1
90272.0,1
90403.0,2
90802.0,1
91343.0,1
91607.0,1
92037.0,2
92627.0,1
92660.0,1
94109.0,2
94117.0,3
94403.0,1
94538.0,1
94608.0,1
95831.0,1
97209.0,2
98058.0,3
98072.0,2
98363.0,4
98433.0,1
99202.0,1
99508.0,1
